word,transcription,numLetters,numPhonemes,difference
without,wɪˈðaʊt,7,6,1
local,ˈləʊkl,5,5,0
turn,tɜ:n,4,3,1
state,steɪt,5,5,0
during,ˈdjʊərɪŋ,6,7,-1
few,fju:,3,3,0
example,ɪgˈzɑ:mpl,7,7,0
although,ɔ:lˈðəʊ,8,5,3
bring,brɪŋ,5,4,1
word,wɜ:d,4,3,1
before,biˈfɔ:,6,4,2
begin,bɪˈgɪn,5,5,0
family,ˈfæməli,6,6,0
fact,fækt,4,4,0
rather,ˈrɑ:ðə,6,4,2
follow,ˈfɒləʊ,6,5,1
social,ˈsəʊʃl,6,5,1
long,lɒŋ,4,3,1
help,help,4,4,0
start,stɑ:t,5,4,1
five,faɪv,4,4,0
quite,kwaɪt,5,5,0
right,raɪt,5,4,1
write,raɪt,5,4,1
month,mʌnθ,5,4,1
run,rʌn,3,3,0
set,set,3,3,0
every,ˈevri,5,4,1
business,ˈbɪznəs,8,6,2
important,ɪmˈpɔ:tnt,9,7,2
term,tɜ:m,4,3,1
side,saɪd,4,4,0
information,ˌɪnfəˈmeɪʃn,11,9,2
home,həʊm,4,4,0
question,ˈkwestʃən,8,8,0
head,hed,4,3,1
power,ˈpaʊə,5,4,1
change,ʧeɪnʤ,6,5,1
move,mu:v,4,3,1
play,pleɪ,4,4,0
night,naɪt,5,4,1
national,ˈnæʃnəl,8,6,2
order,ˈɔ:də,5,3,2
pay,peɪ,3,3,0
both,bəʊθ,4,4,0
interest,"ˈɪntrəst, ˈɪntrest",8,7,1
often,"ˈɒfn, ˈɒftən",5,3,2
development,dɪˈveləpmənt,11,11,0
book,bʊk,4,3,1
money,ˈmʌni,5,4,1
young,jʌŋ,5,3,2
eye,aɪ,3,2,1
water,ˈwɔ:tə,5,4,1
form,fɔrm,4,4,0
level,ˈlevl,5,4,1
whether,ˈweðə,7,4,3
british,ˈbrɪtɪʃ,7,6,1
second,ˈsekənd,6,6,0
include,ɪnˈklu:d,7,6,1
early,ˈɜ:rli,5,4,1
hear,hɪə,4,3,1
council,ˈkaʊnsl,7,6,1
market,ˈmɑ:rkɪt,6,6,0
policy,ˈpɒləsi,6,6,0
london,ˈlʌndən,6,6,0
though,ðəʊ,6,3,3
court,kɔ:t,5,3,2
room,"ru:m, rʊm",4,3,1
car,kɑ:r,3,3,0
general,ˈʤenrəl,7,6,1
yet,jet,3,3,0
believe,bɪˈli:v,7,5,2
possible,ˈpɒsəbl,8,6,2
perhaps,"pəˈhæps, præps",7,6,1
effect,ɪˈfekt,6,5,1
already,ɔ:lˈredi,7,6,1
result,rɪˈzʌlt,6,6,0
line,laɪn,4,4,0
far,fɑ:,3,2,1
meet,mi:t,4,3,1
big,bɪg,3,3,0
lead,li:d,4,3,1
study,ˈstʌdi,5,5,0
nothing,ˈnʌθɪŋ,7,5,2
live,lɪv,4,3,1
allow,əˈlaʊ,5,4,1
idea,aɪˈdɪə,4,5,-1
job,ʤɒb,3,3,0
name,neɪm,4,4,0
body,ˈbɒdi,4,4,0
law,lɔ:,3,2,1
happen,ˈhæpən,6,5,1
authority,"əˈθɒrəti, ɔ:ˈθɒrəti",9,7,2
friend,frend,6,5,1
stand,stænd,5,5,0
later,ˈleɪtə,5,5,0
view,vju:,4,3,1
carry,ˈkæri,5,4,1
road,rəʊd,4,4,0
almost,ˈɔ:lməʊst,6,7,-1
minister,ˈmɪnɪstə,8,7,1
rate,reɪt,4,4,0
political,pəˈlɪtɪkl,9,8,1
produce,"prəˈdju:s, ˈprɒdju:s",7,7,0
together,təˈgeðə,8,6,2
appear,əˈpɪə,6,4,2
six,sɪks,3,4,-1
able,ˈeɪbl,4,4,0
late,leɪt,4,4,0
least,li:st,5,4,1
talk,tɔ:k,4,3,1
face,feɪs,4,4,0
hour,ˈaʊə,4,3,1
office,ˈɒfɪs,6,4,2
war,wɔ:,3,2,1
public,ˈpʌblɪk,6,6,0
himself,hɪmˈself,7,7,0
full,fʊl,4,3,1
offer,ˈɒfə,5,3,2
bit,bɪt,3,3,0
since,sɪns,5,4,1
particular,pəˈtɪkjələ,10,9,1
consider,kənˈsɪdə,8,7,1
reason,ˈri:zn,6,4,2
person,ˈpɜ:sn,6,4,2
less,les,4,3,1
report,rɪˈpɔ:rt,6,6,0
suggest,səˈʤest,7,6,1
require,riˈkwaɪə,7,7,0
let,let,3,3,0
once,wʌns,4,4,0
low,ləʊ,3,3,0
period,ˈpɪəriəd,6,7,-1
expect,ɪkˈspekt,6,7,-1
sit,sɪt,3,3,0
sort,sɔ:t,4,3,1
lot,lɒt,3,3,0
price,praɪs,5,5,0
centre,ˈsentə,6,5,1
society,səˈsaɪəti,7,8,-1
door,dɔ:,4,2,2
continue,kənˈtɪnju:,8,8,0
figure,ˈfɪgə,6,4,2
mother,ˈmʌðə,6,4,2
anything,ˈeniθɪŋ,8,6,2
towards,təˈwɔ:dz,7,6,1
city,ˈsɪti,4,4,0
community,kəmˈju:nəti,9,9,0
available,əˈveɪləbl,9,8,1
police,pəˈli:s,6,5,1
add,æd,3,2,1
kind,kaɪnd,4,5,-1
lose,lu:z,4,3,1
cost,kɒst,4,4,0
issue,"ˈɪʃu:, ˈɪʃju:",5,3,2
control,kənˈtrəʊl,7,8,-1
process,ˈprəʊses,7,7,0
ever,ˈevə,4,3,1
action,ˈækʃn,6,4,2
probably,ˈprɒbəbli,8,8,0
fall,fɔ:l,4,3,1
remain,rɪˈmeɪn,6,6,0
position,pəˈzɪʃn,8,6,2
matter,ˈmætə,6,4,2
education,ˌeʤuˈkeɪʃn,9,8,1
today,təˈdeɪ,5,5,0
type,taɪp,4,4,0
buy,baɪ,3,3,0
bad,bæd,3,3,0
remember,rɪˈmembə,8,7,1
research,"rɪˈsɜ:tʃ, ˈri:sɜ:tʃ",8,6,2
minute,"ˈmɪnɪt, maɪˈnju:t",6,5,1
actually,ˈæktʃuəli,8,8,0
subject,"ˈsʌbdʒɪkt, ˈsʌbdʒekt",7,8,-1
britain,ˈbrɪtn,7,5,2
speak,spi:k,5,4,1
value,ˈvælju:,5,5,0
programme,ˈprəʊɡræm,9,8,1
age,eɪʤ,3,3,0
force,fɔ:s,5,3,2
act,ækt,3,3,0
health,helθ,6,4,2
million,ˈmɪljən,7,6,1
main,meɪn,4,4,0
receive,rɪˈsi:v,7,5,2
send,send,4,4,0
stop,stɒp,4,4,0
patient,ˈpeɪʃnt,7,6,1
industry,ˈɪndəstri,8,8,0
god,gɒd,3,3,0
decision,dɪˈsɪʒn,8,6,2
bank,bæŋk,4,4,0
father,ˈfɑ:ðə,6,4,2
class,klɑ:s,5,4,1
moment,ˈməʊmənt,6,7,-1
decide,dɪˈsaɪd,6,6,0
win,wɪn,3,3,0
church,ʧɜ:ʧ,6,3,3
girl,gɜ:l,4,3,1
until,ənˈtɪl,5,5,0
major,ˈmeɪʤə,5,5,0
street,stri:t,6,5,1
condition,kənˈdɪʃn,9,7,2
several,ˈsevrəl,7,6,1
develop,dɪˈveləp,7,7,0
describe,dɪˈskraɪb,8,8,0
clear,klɪə,5,4,1
economic,"ˌi:kəˈnɒmɪk, ˌekəˈnɒmɪk",8,8,0
sure,"ʃʊə, ʃɔ:",4,3,1
enough,ɪˈnʌf,6,4,2
itself,ɪtˈself,6,6,0
agree,əˈgri:,5,4,1
mind,maɪnd,4,5,-1
paper,ˈpeɪpə,5,5,0
themselves,ðəmˈselvz,10,8,2
therefore,ˈðeəfɔ:,9,5,4
understand,ˌʌndəˈstænd,10,9,1
century,ˈsenʧəri,7,7,0
england,ˈɪŋglənd,7,7,0
section,ˈsekʃn,7,5,2
south,saʊθ,5,4,1
activity,ækˈtɪvəti,8,8,0
including,ɪnˈklu:dɪŋ,9,8,1
upon,əˈpɒn,4,4,0
build,bɪld,5,4,1
involve,ɪnˈvɒlv,7,6,1
read,ri:d,4,3,1
staff,stɑ:f,5,4,1
around,əˈraʊnd,6,6,0
building,ˈbɪldɪŋ,8,6,2
likely,ˈlaɪkli,6,6,0
team,ti:m,4,3,1
among,əˈmʌŋ,5,4,1
reach,ri:ʧ,5,3,2
open,ˈəʊpən,4,5,-1
sense,sens,5,4,1
death,deθ,5,3,2
real,"ˈri:əl, rɪəl",4,4,0
student,ˈtju:dnt,7,6,1
spend,spend,5,5,0
table,ˈteɪbəl,5,6,-1
international,ˌɪntəˈnæʃnəl,13,10,3
experience,ɪkˈspɪəriəns,10,11,-1
language,ˈlæŋgwɪʤ,8,7,1
union,ˈju:niən,5,6,-1
town,taʊn,4,4,0
management,ˈmænɪʤmənt,10,9,1
department,dɪˈpɑ:tmənt,10,9,1
black,blæk,5,4,1
certain,ˈsɜ:tn,7,4,3
special,ˈspeʃl,7,5,2
return,rɪˈtɜ:n,6,5,1
plan,plæn,4,4,0
draw,drɔ:,4,3,1
particularly,pəˈtɪkjələli,12,11,1
land,lænd,4,4,0
difficult,ˈdɪfɪkəlt,9,8,1
product,ˈprɒdʌkt,7,7,0
committee,kəˈmɪti,9,6,3
either,"ˈi:ðə, ˈaɪðə",6,3,3
create,kriˈeɪt,6,6,0
practice,ˈpræktɪs,8,7,1
die,daɪ,3,3,0
north,nɔ:θ,5,3,2
support,səˈpɔ:t,7,5,2
meeting,ˈmi:tɪŋ,7,5,2
evidence,ˈevɪdəns,8,7,1
hope,həʊp,4,4,0
ground,graʊnd,6,6,0
sell,sel,4,3,1
whole,həʊl,5,4,1
west,west,4,4,0
letter,ˈletə,6,4,2
half,hɑ:f,4,3,1
food,fu:d,4,3,1
morning,ˈmɔ:nɪŋ,7,5,2
role,rəʊl,4,4,0
across,əˈkrɒs,6,5,1
third,θɜ:d,5,3,2
game,geɪm,4,4,0
event,ɪˈvent,5,5,0
short,ʃɔ:t,5,3,2
boy,bɔɪ,3,3,0
foot,fʊt,4,3,1
field,fi:ld,5,4,1
cause,kɔ:z,5,3,2
thus,ðʌs,4,3,1
art,ɑ:t,3,2,1
teacher,ˈti:tʃə,7,5,2
range,reɪnʤ,5,5,0
walk,wɔ:k,4,3,1
trade,treɪd,5,5,0
project,ˈprɒʤekt,7,7,0
account,əˈkaʊnt,7,6,1
club,klʌb,4,4,0
shall,"ʃæl, ʃəl",5,3,2
stage,steɪʤ,5,5,0
light,laɪt,5,4,1
sometimes,ˈsʌmtaɪmz,9,8,1
else,els,4,3,1
accept,əkˈsept,6,6,0
wait,weɪt,4,4,0
white,waɪt,5,4,1
history,ˈhɪstri,7,6,1
soon,su:n,4,3,1
pass,pɑ:s,4,3,1
free,fri:,4,3,1
parent,ˈpeərənt,6,7,-1
material,məˈtɪəriəl,8,9,-1
manager,ˈmænɪʤə,7,6,1
ten,ten,3,3,0
care,keə,4,3,1
situation,ˌsɪtʃuˈeɪʃn,9,9,0
record,"ˈrekɔ:d, rɪˈkɔ:d",6,5,1
european,ˌjʊərəˈpi:ən,8,9,-1
yesterday,"ˈjestədeɪ, ˈjestədi",9,8,1
whose,hu:z,5,3,2
training,ˈtreɪnɪŋ,8,7,1
ago,əˈgəʊ,3,4,-1
easy,ˈi:zi,4,3,1
lie,laɪ,3,3,0
strong,strɒŋ,6,5,1
apply,əˈplaɪ,5,5,0
base,beɪs,4,4,0
central,ˈsentrəl,7,7,0
raise,reɪz,5,4,1
behind,bɪˈhaɪnd,6,7,-1
increase,"ɪnˈkri:s, ˈɪŋkri:s",8,6,2
university,ˌju:nɪˈvɜ:səti,10,10,0
common,ˈkɒmən,6,5,1
arm,ɑ:m,3,2,1
watch,wɒtʃ,5,4,1
difference,ˈdɪfrəns,10,7,3
learn,lɜ:n,5,3,2
usually,"ˈju:ʒuəli, ˈju:ʒəli",7,7,0
pound,paʊnd,5,5,0
cover,ˈkʌvə,5,4,1
explain,ɪkˈspleɪn,7,8,-1
claim,kleɪm,5,5,0
hundred,ˈhʌndrəd,7,7,0
quality,ˈkwɒləti,7,7,0
break,breɪk,5,5,0
relationship,rɪˈleɪʃnʃɪp,12,10,2
date,deɪt,4,4,0
relation,rɪˈleɪʃn,8,7,1
grow,ɡrəʊ,4,4,0
sir,sɜ:,3,2,1
rule,ru:l,4,3,1
window,ˈwɪndəʊ,6,6,0
indeed,ɪnˈdi:d,6,5,1
stay,steɪ,4,4,0
tax,tæks,3,4,-1
voice,vɔɪs,5,4,1
air,eə,3,2,1
wife,waɪf,4,4,0
similar,ˈsɪmələ,7,6,1
worker,ˈwɜ:kə,6,4,2
model,ˈmɒdl,5,4,1
data,"ˈdeɪtə, ˈdɑ:tə",4,5,-1
certainly,ˈsɜ:tənli,9,7,2
human,ˈhju:mən,5,6,-1
Europe,ˈjʊərəp,6,6,0
cut,kʌt,3,3,0
structure,ˈstrʌktʃə,9,8,1
unit,ˈju:nɪt,4,5,-1
nature,ˈneɪtʃə,6,6,0
necessary,ˈnesəsəri,9,8,1
method,ˈmeθəd,6,5,1
story,ˈstɔ:ri,5,5,0
contain,kənˈteɪn,7,7,0
someone,ˈsʌmwʌn,7,6,1
hospital,ˈhɒspɪtl,8,7,1
everything,ˈevriθɪŋ,10,7,3
reduce,rɪˈdju:s,6,6,0
board,bɔ:d,5,3,2
officer,ˈɒfɪsə,7,5,2
movement,ˈmu:vmənt,8,7,1
detail,ˈdi:teɪl,6,6,0
single,ˈsɪŋgl,6,5,1
establish,ɪˈstæblɪʃ,9,8,1
private,ˈpraɪvət,7,7,0
especially,əˈspeʃəli,10,8,2
personal,ˈpɜ:sənəl,8,7,1
computer,kəmˈpju:tə,8,8,0
simply,ˈsɪmpli,6,6,0
east,i:st,4,3,1
hard,hɑ:d,4,3,1
king,kɪŋ,4,3,1
seven,ˈsevn,5,4,1
award,əˈwɔ:d,5,4,1
president,ˈprezɪdənt,9,9,0
wall,wɔ:l,4,3,1
eight,eɪt,5,3,2
scheme,ski:m,6,4,2
join,dʒɔɪn,4,5,-1
amount,əˈmaʊnt,6,6,0
bear,beə,4,3,1
approach,əˈprəʊtʃ,8,7,1
former,ˈfɔ:rmə,6,5,1
bed,bed,3,3,0
achieve,əˈtʃi:v,7,5,2
seek,si:k,4,3,1
property,ˈprɒpəti,8,7,1
accord,əˈkɔ:d,6,4,2
bill,bɪl,4,3,1
chapter,ˈtʃæptə,7,6,1
director,"dəˈrektə, daɪˈrektə",8,7,1
deal,di:l,4,3,1
choose,tʃu:z,6,4,2
financial,"faɪˈnænʃl, fəˈnænʃl",9,8,1
theory,ˈθɪəri,6,5,1
wish,wɪʃ,4,3,1
charge,tʃɑ:dʒ,6,5,1
leader,ˈli:də,6,4,2
application,ˌæplɪˈkeɪʃn,11,9,2
firm,fɜ:m,4,3,1
wide,waɪd,4,4,0
secretary,ˈsekrətri,9,8,1
lord,lɔ:d,4,3,1
production,prəˈdʌkʃn,10,8,2
share,ʃeə,5,3,2
son,sʌn,3,3,0
poor,"pɔ:, pʊə",4,2,2
operation,ˌɒpəˈreɪʃn,9,8,1
foreign,ˈfɒrən,7,5,2
agreement,əˈgri:mənt,9,8,1
opportunity,ˌɒpəˈtju:nəti,11,10,1
fail,feɪl,4,4,0
contract,ˈkɒntrækt,8,8,0
herself,hɜ:ˈself,7,6,1
test,test,4,4,0
march,mɑ:tʃ,5,4,1
chance,tʃɑ:ns,6,5,1
recent,ˈri:snt,6,5,1
simple,ˈsɪmpl,6,5,1
security,sɪˈkjʊərəti,8,10,-2
election,ɪˈlekʃn,8,6,2
serve,sɜ:v,5,3,2
picture,ˈpɪktʃə,7,6,1
concerned,kənˈsɜ:nd,9,7,2
source,sɔ:s,6,3,3
american,əˈmerɪkən,8,8,0
occur,əˈkɜ:r,5,4,1
site,saɪt,4,4,0
represent,ˌreprɪˈzent,9,9,0
future,ˈfju:tʃə,6,6,0
used,ju:st,4,4,0
colour,ˈkʌlə,6,4,2
loss,lɒs,4,3,1
various,ˈveəriəs,7,7,0
twenty,ˈtwenti,6,6,0
benefit,ˈbenɪfɪt,7,7,0
animal,ˈænɪml,6,5,1
standard,ˈstændəd,8,7,1
due,dju:,3,3,0
shop,ʃɒp,4,3,1
clearly,ˈklɪəli,7,6,1
top,tɒp,3,3,0
close,kləʊz,5,5,0
purpose,ˈpɜ:pəs,7,5,2
rise,raɪz,4,4,0
kill,kɪl,4,3,1
factor,ˈfæktə,6,5,1
drive,draɪv,5,5,0
music,ˈmju:zɪk,5,6,-1
heart,hɑ:t,5,3,2
discuss,dɪˈskʌs,7,6,1
english,ˈɪŋglɪʃ,7,6,1
present,ˈpreznt,7,6,1
pattern,ˈpætn,7,4,3
design,dɪˈzaɪn,6,6,0
April,ˈeɪprəl,5,6,-1
royal,ˈrɔɪəl,5,5,0
argue,ˈɑ:gju:,5,4,1
prove,pru:v,5,4,1
plant,plɑ:nt,5,5,0
evening,ˈi:vnɪŋ,7,5,2
page,peɪdʒ,4,5,-1
fine,faɪn,4,4,0
doctor,ˈdɒktə,6,5,1
performance,pəˈfɔ:məns,11,8,3
june,dʒu:n,4,4,0
population,ˌpɒpjuˈleɪʃn,10,10,0
response,rɪˈspɒns,8,7,1
pressure,ˈpreʃə,8,5,3
wrong,rɒŋ,5,3,2
garden,ˈgɑ:dn,6,4,2
environment,ɪnˈvaɪrənmənt,11,12,-1
knowledge,ˈnɒlɪdʒ,9,6,3
basis,ˈbeɪsɪs,5,6,-1
despite,dɪˈspaɪt,7,7,0
front,frʌnt,5,5,0
anyone,ˈeniwʌn,6,6,0
piece,pi:s,5,3,2
introduce,ˌɪntrəˈdju:s,9,9,0
pick,pɪk,4,3,1
love,lʌv,4,3,1
instead,ɪnˈsted,7,6,1
series,ˈsɪəri:z,6,6,0
size,saɪz,4,4,0
enjoy,ɪnˈdʒɔɪ,5,6,-1
analysis,əˈnæləsɪs,8,8,0
wear,weə,4,3,1
success,səkˈses,7,6,1
tree,tri:,4,3,1
news,nju:z,4,4,0
hair,heə,4,3,1
ensure,"ɪnˈʃʊə, ɪnˈʃɔ:",6,5,1
region,ˈriːdʒən,6,7,-1
fire,ˈfaɪə,4,4,0
catch,kætʃ,5,4,1
natural,ˈnætʃrəl,7,7,0
enter,ˈentə,5,4,1
near,nɪə,4,3,1
association,"əˌsəʊsiˈeɪʃn, əˌsəʊʃiˈeɪʃn",11,10,1
statement,ˈsteɪtmənt,9,9,0
labour,ˈleɪbə,6,5,1
eat,i:t,3,2,1
rest,rest,4,4,0
village,ˈvɪlɪʤ,7,5,2
demand,dɪˈmɑ:nd,6,6,0
principle,ˈprɪnsəpl,9,8,1
space,speɪs,5,5,0
player,ˈpleɪə,6,5,1
list,lɪst,4,4,0
capital,ˈkæpɪtl,7,6,1
arrive,əˈraɪv,6,5,1
refer,rɪˈfɜ:,5,4,1
station,ˈsteɪʃn,7,6,1
attention,əˈtenʃn,9,6,3
choice,tʃɔɪs,6,5,1
individual,ˌɪndɪˈvɪdʒuəl,10,11,-1
film,fɪlm,4,4,0
income,"ˈɪnkʌm, ˈɪnkəm",6,5,1
step,step,4,4,0
hotel,həʊˈtel,5,6,-1
sea,si:,3,2,1
nine,naɪn,4,4,0
thought,θɔ:t,7,3,4
organisation,ˌɔːɡənaɪˈzeɪʃn,12,12,0
relate,rɪˈleɪt,6,6,0
feature,ˈfi:tʃə,7,5,2
current,ˈkʌrənt,7,6,1
attempt,əˈtempt,7,6,1
couple,ˈkʌpl,6,4,2
technology,tekˈnɒlədʒi,10,10,0
round,raʊnd,5,5,0
following,ˈfɒləʊɪŋ,9,7,2
affect,əˈfekt,6,5,1
above,əˈbʌv,5,4,1
forward,ˈˈfɔ:wəd,7,5,2
identify,aɪˈdentəti,8,9,-1
pull,pʊl,4,3,1
effort,ˈefət,6,4,2
French,frentʃ,6,6,0
cell,sel,4,3,1
scotland,ˈskɒtlənd,8,8,0
cup,kʌp,3,3,0
difficulty,ˈdɪfɪkəlti,10,9,1
treatment,ˈtri:tmənt,9,8,1
legal,ˈli:gl,5,4,1
nice,naɪs,4,4,0
energy,ˈenədʒi,6,6,0
regard,rɪˈgɑ:d,6,5,1
machine,məˈʃi:n,7,5,2
county,ˈkaʊnti,6,6,0
growth,ɡrəʊθ,6,5,1
modern,ˈmɒdn,6,4,2
degree,dɪˈgri:,6,5,1
compare,kəmˈpeə,7,6,1
provision,prəˈvɪʒn,9,7,2
function,ˈfʌŋkʃn,8,6,2
please,pli:z,6,4,2
defence,dɪˈfens,7,6,1
risk,rɪsk,4,4,0
manage,ˈmænɪʤ,6,5,1
whatever,wɒtˈevə,8,6,2
everyone,ˈevriwʌn,8,7,1
behaviour,bɪˈheɪvjə,9,8,1
mile,maɪl,4,4,0
obtain,əbˈteɪn,6,6,0
resource,"rɪˈsɔ:s, rɪˈzɔ:s",8,5,3
task,tɑ:sk,4,4,0
college,ˈkɒlɪdʒ,7,6,1
means,mi:nz,5,4,1
final,ˈfaɪnl,5,5,0
thank,θæŋk,5,4,1
hall,hɔ:l,4,3,1
whom,hu:m,4,3,1
science,ˈsaɪəns,7,6,1
announce,əˈnaʊns,8,6,2
finally,ˈfaɪnəli,7,7,0
skill,skɪl,5,4,1
happy,ˈhæpi,5,4,1
user,ˈju:zə,4,4,0
style,staɪl,5,5,0
answer,ˈɑ:nsə,6,4,2
lady,ˈleɪdi,4,5,-1
note,nəʊt,4,4,0
investment,ɪnˈvestmənt,10,10,0
mark,mɑ:k,4,3,1
character,ˈkærəktə,9,7,2
economy,ɪˈkɒnəmi,7,7,0
depend,dɪˈpend,6,6,0
horse,hɔ:s,5,3,2
maintain,meɪnˈteɪn,8,8,0
park,pɑ:k,4,3,1
sound,saʊnd,5,5,0
normal,ˈnɔ:ml,6,4,2
red,red,3,3,0
recently,ˈri:sntli,8,7,1
france,frɑ:ns,6,5,1
publish,ˈpʌblɪʃ,7,6,1
army,ˈɑ:mi,4,3,1
feeling,ˈfi:lɪŋ,7,5,2
indicate,ˈɪndɪkeɪt,8,8,0
dog,dɒg,3,3,0
season,ˈsi:zn,6,4,2
total,ˈtəʊtl,5,5,0
serious,ˈsɪəriəs,7,7,0
previous,ˈpri:viəs,8,7,1
floor,flɔ:,5,3,2
suffer,ˈsʌfə,6,4,2
argument,ˈɑ:ɡjumənt,8,8,0
myself,maɪˈself,6,7,-1
significant,sɪgˈnɪfɪkənt,11,11,0
responsibility,rɪˌspɒnsəˈbɪləti,14,14,0
nor,nɔ:,3,2,1
concern,kənˈsɜ:n,7,6,1
prime,praɪm,5,5,0
express,ɪkˈspres,7,7,0
chairman,ˈtʃeəmən,8,7,1
brother,ˈbrʌðə,7,5,2
outside,ˌaʊtˈsaɪd,7,7,0
element,ˈelɪmənt,7,7,0
