word,transcription,numLetters,numPhonemes,difference
certain,ˈsɜ:tn,7,4,3
special,ˈspeʃl,7,5,2
return,rɪˈtɜ:n,6,5,1
draw,drɔ:,4,3,1
particularly,pəˈtɪkjələli,12,11,1
difficult,ˈdɪfɪkəlt,9,8,1
committee,kəˈmɪti,9,6,3
either,"ˈi:ðə, ˈaɪðə",6,3,3
practice,ˈpræktɪs,8,7,1
north,nɔ:θ,5,3,2
support,səˈpɔ:t,7,5,2
meeting,ˈmi:tɪŋ,7,5,2
evidence,ˈevɪdəns,8,7,1
sell,sel,4,3,1
whole,həʊl,5,4,1
letter,ˈletə,6,4,2
half,hɑ:f,4,3,1
food,fu:d,4,3,1
morning,ˈmɔ:nɪŋ,7,5,2
across,əˈkrɒs,6,5,1
third,θɜ:d,5,3,2
short,ʃɔ:t,5,3,2
foot,fʊt,4,3,1
field,fi:ld,5,4,1
cause,kɔ:z,5,3,2
thus,ðʌs,4,3,1
art,ɑ:t,3,2,1
teacher,ˈti:tʃə,7,5,2
walk,wɔ:k,4,3,1
account,əˈkaʊnt,7,6,1
shall,"ʃæl, ʃəl",5,3,2
light,laɪt,5,4,1
sometimes,ˈsʌmtaɪmz,9,8,1
else,els,4,3,1
white,waɪt,5,4,1
history,ˈhɪstri,7,6,1
soon,su:n,4,3,1
pass,pɑ:s,4,3,1
free,fri:,4,3,1
parent,ˈpeərənt,6,7,-1
material,məˈtɪəriəl,8,9,-1
manager,ˈmænɪʤə,7,6,1
care,keə,4,3,1
record,"ˈrekɔ:d, rɪˈkɔ:d",6,5,1
european,ˌjʊərəˈpi:ən,8,9,-1
yesterday,"ˈjestədeɪ, ˈjestədi",9,8,1
whose,hu:z,5,3,2
training,ˈtreɪnɪŋ,8,7,1
ago,əˈgəʊ,3,4,-1
easy,ˈi:zi,4,3,1
strong,strɒŋ,6,5,1
